"f_9","Points:0","Points:1","Points:2"
300.1,0.90625,0.53125,0
300.1,0.9375,0.53125,0
300.1,0.96875,0.53125,0
300.1,1,0.53125,0
300.16,0,0.5625,0
300.16,0.03125,0.5625,0
300.16,0.0625,0.5625,0
300.16,0.09375,0.5625,0
300.16,0.125,0.5625,0
300.15,0.15625,0.5625,0
300.15,0.1875,0.5625,0
300.15,0.21875,0.5625,0
300.15,0.25,0.5625,0
300.14,0.28125,0.5625,0
300.14,0.3125,0.5625,0
300.14,0.34375,0.5625,0
300.13,0.375,0.5625,0
300.13,0.40625,0.5625,0
300.13,0.4375,0.5625,0
300.13,0.46875,0.5625,0
300.12,0.5,0.5625,0
300.12,0.53125,0.5625,0
300.12,0.5625,0.5625,0
300.12,0.59375,0.5625,0
300.12,0.625,0.5625,0
300.11,0.65625,0.5625,0
300.11,0.6875,0.5625,0
300.11,0.71875,0.5625,0
300.11,0.75,0.5625,0
300.11,0.78125,0.5625,0
300.11,0.8125,0.5625,0
300.11,0.84375,0.5625,0
300.11,0.875,0.5625,0
300.11,0.90625,0.5625,0
300.11,0.9375,0.5625,0
300.11,0.96875,0.5625,0
300.11,1,0.5625,0
300.16,0,0.59375,0
300.16,0.03125,0.59375,0
300.16,0.0625,0.59375,0
300.16,0.09375,0.59375,0
300.16,0.125,0.59375,0
300.16,0.15625,0.59375,0
300.16,0.1875,0.59375,0
300.15,0.21875,0.59375,0
300.15,0.25,0.59375,0
300.15,0.28125,0.59375,0
300.14,0.3125,0.59375,0
300.14,0.34375,0.59375,0
300.14,0.375,0.59375,0
300.14,0.40625,0.59375,0
300.13,0.4375,0.59375,0
300.13,0.46875,0.59375,0
300.13,0.5,0.59375,0
300.13,0.53125,0.59375,0
300.12,0.5625,0.59375,0
300.12,0.59375,0.59375,0
300.12,0.625,0.59375,0
300.12,0.65625,0.59375,0
300.12,0.6875,0.59375,0
300.12,0.71875,0.59375,0
300.11,0.75,0.59375,0
300.11,0.78125,0.59375,0
300.11,0.8125,0.59375,0
300.11,0.84375,0.59375,0
300.11,0.875,0.59375,0
300.11,0.90625,0.59375,0
